Run order,Stage,Journey ID,Priority,Automation,Tier,Phase,Manual test,Exact manual steps,Expected result,Automated test exists,What remains manual,Result (PASS/FAIL/BLOCKED/NOT RUN),Tester,Run date,Evidence path or URL,Defect link,Notes
1,A,1,P0,NONE,Core,0 Package and install,Final production DMG installs in locked Core state,"Mount the final production DMG, drag Off Grid AI Desktop to Applications, eject the DMG, then open the installed app without entitlement",The app opens without a crash or white screen; Core works and every Pro service and screen remains locked,No,"Run the complete Final production DMG installs in locked Core state journey against the exact Developer ID-signed, notarized, stapled 0.0.40 artifact.",NOT RUN,,,,,"Use the one production Pro-capable artifact, not npm run dev or a local diagnostic variant"
2,A,2,P0,NONE,Both,0 Package and install,Final production DMG activates entitled Pro state,"Install the same final production DMG, activate with a valid test entitlement, restart when requested, then reopen",The same installed app activates Pro services and screens only after entitlement and remains usable after relaunch,No,"Run the complete Final production DMG activates entitled Pro state journey against the exact Developer ID-signed, notarized, stapled 0.0.40 artifact.",NOT RUN,,,,,Use the same production artifact as #1; local Core and Pro DMGs are diagnostic variants only
3,A,3,P0,PARTIAL,Both,0 Package and install,Fresh profile is truly fresh,Move ~/Library/Application Support/Off Grid AI Desktop aside before first launch,Onboarding appears with no chats models captures or credentials from another run,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,Use a disposable profile; never delete a real profile without a backup
4,A,4,P0,PARTIAL,Both,0 Package and install,Core and Pro source and activation separation,"Inspect the Core source artifact, then run the one production app first locked and then entitled",Core contains no Pro implementation; the production app exposes no Pro implementation before entitlement and activates it only after entitlement,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,Release blocker for open-core packaging; do not describe local diagnostic variants as separate production artifacts
5,A,5,P0,PARTIAL,Both,0 Package and install,Packaged helper binaries exist,Open System Health after installing the DMG,"llama-server, ffmpeg, whisper helpers, and required dylibs are present; no missing-binary error",Yes,The installed System Health UI is not yet reconciled with that same execution.,NOT RUN,,,,,Check Console.app if a component is down
6,A,6,P0,PARTIAL,Both,0 Package and install,Packaged llama dependency closure,Start the chat model from the packaged app,The bundled llama-server launches without dyld or foreign Homebrew dependency errors,Yes,"Repeat the listed steps on the exact installed 0.0.40 artifact with the real macOS, hardware, network, or external-system boundary.",NOT RUN,,,,,Release blocker; CI-built engine path only
7,A,7,P0,PARTIAL,Both,0 Package and install,Upgrade preserves user data,Install the previous release; create data and settings; install this build over it,Chats models projects settings and entitlement remain intact,Yes,Signed installer replacement remains a separate device check.,NOT RUN,,,,,Run as a separate pass from fresh install
8,A,8,P1,PROVEN,Both,0 Package and install,Window identity and product name,Inspect the app name menu title About surface and installed application,Every visible name is Off Grid AI Desktop,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,No legacy product names
9,A,NR-01,P0,NONE,Both,13 Release topology and trust,Production artifact topology is unambiguous,"Compare the release workflow, published asset names, bundle identifier, update feeds, release notes, and locked/entitled test instructions.",Every source describes one production Pro-capable artifact that starts in locked Core state and activates Pro only after entitlement; local Core/Pro builds are labeled diagnostic.,No,"Resolve the release topology and verify the exact published assets, feeds, bundle ID, and checklist use the same model.",NOT RUN,,,,,Audit gap: contradictory release topology can invalidate otherwise correct QA evidence.
10,A,NR-02,P0,PARTIAL,Both,13 Release topology and trust,Final downloaded macOS artifact passes Apple trust checks,"On a clean quarantined Mac, download the final DMG and run strict deep signature verification, Team ID and hardened-runtime inspection, notarization staple validation, Gatekeeper assessment, and ASAR fuse inspection.","The exact downloaded app is Developer ID-signed by Team 84V6KCAC49, notarized, stapled, Gatekeeper-accepted, and enforces both ASAR integrity fuses.",Yes,Repeat the checks on the exact downloaded production artifact and a clean Mac against Apple services.,NOT RUN,,,,,Release blocker.
11,A,NR-03,P0,PARTIAL,Both,13 Release topology and trust,Detached DMG installation is self-contained,"Confirm the DMG has exactly one app and the Applications alias, copy the app to /Applications, eject the DMG, disconnect build volumes, then launch.","The installed app starts with no dependency on the mounted image, repository, temporary build paths, or a second nested app.",Yes,Repeat with Finder and the exact final downloaded DMG on the release Mac.,NOT RUN,,,,,Release blocker.
12,A,NR-04,P0,PARTIAL,Both,13 Release topology and trust,Every packaged native helper executes in production conditions,"From the installed app, exercise llama-server, Whisper/Parakeet, ffmpeg, image runtime, TTS, dictation, and meeting helpers with Homebrew and repository paths unavailable.","Every shipped helper executes without missing @rpath libraries, temporary build paths, foreign dependencies, unsupported minOS, or silent System Health mismatch.",Yes,Execute the exact final app on target hardware and reconcile each result with installed System Health.,NOT RUN,,,,,Release blocker; catches the failure class that broke earlier releases.
13,A,NR-05,P0,PARTIAL,Both,13 Release topology and trust,Supported macOS and architecture matrix executes,Install and run every nested executable on the oldest and newest supported macOS; record Apple Silicon and Intel/Rosetta policy and result.,The app and every helper start on each advertised OS/architecture with no deployment-target or architecture mismatch.,Yes,Run the physical supported OS and architecture matrix.,NOT RUN,,,,,Release policy must explicitly state unsupported architectures.
14,A,NR-17,P0,NONE,Both,13 Release topology and trust,Windows publication decision and evidence are explicit,"Inspect the release workflow and final assets; if Windows ships, run signed install, lock/entitlement, native-helper, update, upgrade, and uninstall tests on supported Windows; otherwise prevent asset publication.",No untested Windows artifact is published and the release notes state the supported platform set accurately.,No,"Make and enforce the release decision, then attach Windows evidence when applicable.",NOT RUN,,,,,Release blocker if a Windows asset will be published.
15,B,9,P0,PROVEN,Both,1 Onboarding and health,Fresh onboarding completes,Follow onboarding from the first screen through setup,The app lands in the desktop shell with no stuck or blank step,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,Run on a fresh profile
16,B,10,P0,PARTIAL,Both,1 Onboarding and health,Configure for me completes,Choose the automatic setup path and let it finish,Recommended models download and active choices are populated,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,Allow enough disk space and network access
17,B,11,P1,PARTIAL,Both,1 Onboarding and health,Manual setup path works,Choose models manually and complete onboarding,Only the chosen models are downloaded and the app becomes usable,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
18,B,12,P1,PROVEN,Both,1 Onboarding and health,Onboarding resumes after relaunch,Quit midway through a download or setup step and reopen,The app resumes coherently without losing completed work or duplicating downloads,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
19,B,13,P0,PARTIAL,Both,1 Onboarding and health,System Health is truthful,Open System Health and compare each component with actual behavior,Healthy components work; failed components show the captured actionable reason,Yes,Comparing every row with the signed installed artifact remains manual.,NOT RUN,,,,,Do not accept a generic Down label when stderr has a cause
20,B,14,P1,PARTIAL,Both,1 Onboarding and health,Chat engine stderr is surfaced,Temporarily use an incompatible or damaged model and start the engine,System Health reports the classified model or engine failure,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,Restore a valid model after the check
21,B,15,P0,PARTIAL,Both,1 Onboarding and health,Required macOS permissions granted,Enable screen recording accessibility microphone and notifications when prompted,Each granted capability becomes healthy without repeated prompts,Yes,Granting all four TCC permissions in the signed app and checking relaunch prompts remains manual.,NOT RUN,,,,,Pro capture and dictation need their respective permissions
22,B,16,P1,PARTIAL,Both,1 Onboarding and health,Denied permission is recoverable,Deny one macOS permission then use its feature,A clear explanation and Settings route appear; the rest of the app stays usable,Yes,"Repeat the listed steps on the exact installed 0.0.40 artifact with the real macOS, hardware, network, or external-system boundary.",NOT RUN,,,,,Exercise screen recording and microphone separately
23,C,NR-09,P0,PARTIAL,Pro,15 macOS privacy and lifecycle,Active TCC revocation stops collection immediately,"While capture, meeting recording, and dictation are active, revoke Screen Recording, Microphone, and Accessibility one at a time, then regrant and retry.","Collection and paste stop immediately, errors are specific, no stale helper continues, and regrant recovers without prompt or relaunch loops beyond macOS requirements.",Yes,"Revoke each TCC permission against the signed app while the actual macOS capture, audio, and paste resources are live.",NOT RUN,,,,,Privacy release blocker.
24,C,NR-10,P0,PARTIAL,Pro,15 macOS privacy and lifecycle,"Lock, sleep, and wake do not capture or orphan resources","Lock and sleep the Mac during capture, meeting recording, and dictation; wait; wake and unlock; inspect data, helpers, indicators, and recovery.","Nothing is captured while locked, no helper or mic indicator is orphaned, partial data is reconciled, and wake resumes only when user settings allow.",Yes,Run real macOS power and session events on the release device.,NOT RUN,,,,,Privacy and data-integrity release blocker.
25,C,NR-11,P0,NONE,Pro,15 macOS privacy and lifecycle,Multi-display capture preserves display privacy,"Use two displays with different scale/orientation, place sensitive content on the secondary display, then connect, disconnect, and rearrange displays while capture is active.","Only intended displays/surfaces are captured, exclusions apply everywhere, no stale or wrong-display frames leak, and capture recovers after topology changes.",No,"Exercise real displays, scaling, orientation, and hot-plug behavior.",NOT RUN,,,,,Privacy release blocker.
26,C,NR-21,P1,PARTIAL,Pro,15 macOS privacy and lifecycle,Global shortcut collisions and keyboard changes recover,"Create a shortcut collision with another app, switch keyboard layout/remapping, and change dictation mode while a key is held.","Unavailable registration is visible, a usable fallback remains, settings do not create duplicate events, and restart/rebind is clean.",Yes,"Use real globalShortcut, layouts/remappers, and a competing application.",NOT RUN,,,,,Test both Option+Space and Cmd+Shift+C.
27,C,NR-22,P1,NONE,Pro,15 macOS privacy and lifecycle,Microphone route changes do not strand recording,"Start dictation and meeting recording, then unplug, replace, or switch the default mic, including Bluetooth/AirPods and no-input states.","The app preserves or clearly fails partial recording, releases the old route and mic indicator, selects the new route when possible, and can record again.",No,Exercise physical and Bluetooth input changes on the release Mac.,NOT RUN,,,,,Record the tested hardware.
28,C,NR-23,P1,PARTIAL,Pro,15 macOS privacy and lifecycle,Meeting audio sources and timing remain truthful,"Record system audio plus mic across mute, silence, headphones, and differing sample rates/channels; inspect waveform, duration, transcript timing, and attribution.","Audio is not duplicated or fed back, mute/silence is represented honestly, timing remains aligned, and the summary uses the complete intended recording.",Yes,"Record through real system audio, mic routes, devices, and sample formats.",NOT RUN,,,,,Use synthetic spoken content.
29,C,NR-26,P1,PARTIAL,Pro,15 macOS privacy and lifecycle,Native notification permission and stale targets recover,"Deny then grant Notifications, click meeting/approval/to-do notifications, click a stale target, and change notification settings while delivery is pending.","Delivery follows permission, clicks focus the app and open the exact live record, stale targets fail closed with a recoverable fallback, and no duplicate notification appears.",Yes,"Exercise real notification permission, delivery, click/focus, and stale records.",NOT RUN,,,,,Use synthetic notification content.
30,C,NR-31,P2,PARTIAL,Both,15 macOS privacy and lifecycle,TTS output-device changes recover,"Play speech, switch output device and volume, disconnect Bluetooth audio, press Stop, reconnect, and synthesize again.","Playback stops promptly, no old audio continues, device loss is visible, resources release, and the next synthesis plays through the active output.",Yes,Exercise real CoreAudio output routing and physical/Bluetooth devices.,NOT RUN,,,,,Audible output is mandatory evidence.
31,D,138,P0,PARTIAL,Pro,11 Settings privacy licensing and updates,Pro license activates,Run a Pro build without override; enter a valid test key; restart,Entitlement persists and Pro screens unlock,Yes,"Repeat the listed steps on the exact installed 0.0.40 artifact with the real macOS, hardware, network, or external-system boundary.",NOT RUN,,,,,Pro artifact only; use a test entitlement
32,D,139,P1,PARTIAL,Pro,11 Settings privacy licensing and updates,Invalid or exhausted license fails clearly,Enter an invalid key and a key at its device limit,Activation explains the real reason and the app remains locked,Yes,"Repeat the listed steps on the exact installed 0.0.40 artifact with the real macOS, hardware, network, or external-system boundary.",NOT RUN,,,,,Pro artifact only
33,D,140,P0,PARTIAL,Pro,11 Settings privacy licensing and updates,Offline entitlement behavior,Activate online; quit; disable network; reopen,The signed cached entitlement follows policy without exposing Pro on an unentitled profile,Yes,"Repeat the listed steps on the exact installed 0.0.40 artifact with the real macOS, hardware, network, or external-system boundary.",NOT RUN,,,,,Pro artifact only
34,E,17,P0,PARTIAL,Both,2 Models and downloads,Text model downloads,Models -> choose a small chat model -> Download,Progress advances and the model becomes available for activation,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
35,E,18,P1,PARTIAL,Both,2 Models and downloads,Vision model downloads,Download a vision-capable GGUF and its projector,All required files complete and the model is not marked ready early,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
36,E,19,P1,PARTIAL,Both,2 Models and downloads,Speech model downloads,Download a Whisper or Parakeet model,The model becomes selectable for dictation and is not falsely shown as resident,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,Pro use path; model management is core
37,E,20,P1,PARTIAL,Both,2 Models and downloads,TTS model downloads,Download the supported voice model,The model becomes selectable and can speak a reply,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,Pro use path; model management is core
38,E,21,P1,PARTIAL,Both,2 Models and downloads,Image model downloads,Download an image model and wait for extraction,It becomes usable only after every required file and extraction step completes,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
39,E,22,P1,PARTIAL,Both,2 Models and downloads,Multiple downloads queue,Start more downloads than the concurrency limit,Running and queued counts agree; the queue drains without dropping an item,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
40,E,23,P1,PARTIAL,Both,2 Models and downloads,Delete does not cancel another download,Delete an installed model while another model is downloading,The in-flight download continues and only the selected model is removed,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
41,E,24,P1,PARTIAL,Both,2 Models and downloads,Offline download fails clearly,Disable network access and start a new model download,A connection error appears with a usable retry path and no phantom ready model,Yes,"Repeat the listed steps on the exact installed 0.0.40 artifact with the real macOS, hardware, network, or external-system boundary.",NOT RUN,,,,,Real network boundary
42,E,25,P0,PARTIAL,Both,2 Models and downloads,Interrupted download recovers,Quit the app during a download and reopen,The item resumes or becomes explicitly retryable; it never remains falsely ready,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
43,E,26,P0,PARTIAL,Both,2 Models and downloads,Truncated GGUF is rejected,Interrupt or substitute a file below the integrity floor,The file is not promoted to installed or loadable,Yes,"ts` drives the real model manager against a temp filesystem, with only HTTP delivery faked, and proves truncated downloads and local imports are rejected before promotion, installation, copying, or registration.",NOT RUN,,,,,Adversarial release check
44,E,27,P0,PARTIAL,Both,2 Models and downloads,Disk write failure does not crash,Use a nearly full disposable volume or unwritable test location and start a download,The download fails; Off Grid AI Desktop stays open and other features remain usable,Yes,"Repeat the listed steps on the exact installed 0.0.40 artifact with the real macOS, hardware, network, or external-system boundary.",NOT RUN,,,,,Never risk a real data volume
45,E,28,P0,PARTIAL,Both,2 Models and downloads,Active text model survives relaunch,Activate a chat model; quit fully; reopen,The same model remains active and answers a new message,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
46,E,29,P1,PROVEN,Both,2 Models and downloads,Active modal models survive relaunch,Activate image STT and TTS choices; quit fully; reopen,Each modality restores its own selection without cross-over,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
47,E,30,P1,PROVEN,Both,2 Models and downloads,Deleting active model clears selection,Activate then delete a model for each available modality,No dangling active pointer remains; the UI asks for or selects a valid replacement,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
48,E,31,P2,PARTIAL,Both,2 Models and downloads,Models use desktop density,Resize the window across normal desktop widths,Model cards form a dense multi-column grid; controls stay beside their card content,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,Visual check against docs/DESIGN.md
49,E,32,P0,PARTIAL,Both,3 Chat and conversations,First local message replies,Select a local text model; create a chat; send a prompt,A response streams into one assistant bubble and is persisted,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
50,E,33,P0,PARTIAL,Both,3 Chat and conversations,No memory scope works,Choose No memory and send a prompt,The reply uses the conversation only and the selected scope remains visible,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
51,E,34,P0,PARTIAL,Both,3 Chat and conversations,All memory scope works,Seed or capture memory; choose All memory; ask about it,The answer uses retrieved local context and citations where applicable,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,A blank demo profile must be seeded before this check
52,E,35,P1,PARTIAL,Both,3 Chat and conversations,Empty memory degrades safely,On a truly fresh profile choose All memory and send a prompt,The app answers without context or shows a clear empty-state message; no generic crash bubble,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
53,E,36,P1,PARTIAL,Both,3 Chat and conversations,Thinking streams separately,Enable Thinking and ask a reasoning question,Reasoning appears in its own block while the final answer stays separate,Yes,tsx` drives a real rendered turn through the production thinking-stream parser and proves reasoning renders in its own block while the final answer remains separate.,NOT RUN,,,,,
54,E,37,P1,PARTIAL,Both,3 Chat and conversations,Plain reply hides think markers,Disable Thinking and send a plain prompt,No literal think tags or parser markers appear,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
55,E,38,P0,PARTIAL,Both,3 Chat and conversations,Stop before first token,Send a prompt and click Stop during search or classification,Work aborts promptly; no tool or side effect runs; the next send starts normally,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
56,E,39,P0,PARTIAL,Both,3 Chat and conversations,Stop during streaming,Click Stop after answer tokens appear,Streaming ends cleanly and the partial answer remains,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
57,E,40,P1,PARTIAL,Both,3 Chat and conversations,Queued message order,Send a second message while the first reply is still streaming,Messages run in order without collision duplication or loss,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
58,E,41,P0,PARTIAL,Both,3 Chat and conversations,Conversation switch isolation,Start work in conversation A then switch to B,B shows none of A's spinner progress or partial state; A completes against A's history,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
59,E,42,P0,PARTIAL,Both,3 Chat and conversations,Project switch isolation,Start a project-scoped generation then change the project selection,The turn and resulting artifacts stay attributed to the project captured at send time,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
60,E,43,P0,PARTIAL,Both,3 Chat and conversations,Chat survives relaunch,Create several conversations and fully quit,All conversations messages scopes and project associations restore correctly,Yes,Reloading the visible conversation list remains manual.,NOT RUN,,,,,
61,E,44,P2,PROVEN,Both,3 Chat and conversations,Rename conversation,Rename a conversation and navigate away and back,The new name persists everywhere it is shown,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
62,E,45,P1,PARTIAL,Both,3 Chat and conversations,Delete conversation cascades,Create a chat with messages and an artifact then delete it,The chat messages and chat-owned artifact disappear with no orphaned sidebar item,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
63,E,46,P2,PROVEN,Both,3 Chat and conversations,Copy assistant reply,Use the copy action on an assistant message,Pasting into another app yields the expected message text,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,Real clipboard boundary
64,E,47,P1,PARTIAL,Both,3 Chat and conversations,Regenerate reply,Regenerate an assistant answer,A new answer is produced from the same conversation context without duplicating the user turn,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
65,E,48,P0,PARTIAL,Both,3 Chat and conversations,Error clears busy state,Trigger a model or gateway failure during a turn,A useful error appears; spinner and Stop clear; another send can run,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
66,E,49,P1,PARTIAL,Both,3 Chat and conversations,Long answer respects configured cap,Raise the response limit and request a long answer,Output can pass the old cap and ends with a clear cutoff state if the new limit is reached,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
67,E,50,P2,PARTIAL,Both,3 Chat and conversations,Keyboard and navigation shortcuts,Use Cmd+[ and Cmd+] after visiting several screens,Back and forward navigate through desktop view history without losing screen state,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
68,E,51,P0,PARTIAL,Both,4 Projects and artifacts,Create a project,Projects -> create a named project,The project appears and survives navigation and relaunch,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
69,E,52,P0,PARTIAL,Both,4 Projects and artifacts,Attach a knowledge document,Open a project and add a supported document,Indexing completes and the document appears once,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
70,E,53,P0,PARTIAL,Both,4 Projects and artifacts,Project retrieval is grounded,Start a chat inside the project and ask about the document,The answer uses relevant document content and does not invent an attachment,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
71,E,54,P1,PARTIAL,Both,4 Projects and artifacts,New chat inherits project,Create a new chat from inside a project,The conversation is filed under that project and retains its knowledge scope,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
72,E,55,P2,PARTIAL,Both,4 Projects and artifacts,Edit project,Change a project's name or details and save,The new values persist in every project surface,Yes,"Run the listed visible journey on the exact installed 0.0.40 artifact and inspect state, persistence, errors, and pixels.",NOT RUN,,,,,
